"loss","profit","macd_level","target_stability","balance"
"0.01","0.01","0.5","1","-358.0"
"0.01","0.01","0.5","2","-358.0"
"0.01","0.01","0.5","3","-358.0"
"0.01","0.01","0.5","4","-358.0"
"0.01","0.01","0.5","6","-358.0"
"0.001","0.02","0.05","0","218.0"
"0.001","0.02","0.05","1","428.0"
"0.001","0.02","0.05","2","428.0"
"0.001","0.02","0.05","3","428.0"
"0.001","0.02","0.05","4","428.0"
"0.001","0.02","0.05","6","428.0"
"0.001","0.02","0.1","0","306.0"
"0.001","0.02","0.1","1","401.0"
"0.001","0.02","0.1","2","401.0"
"0.001","0.02","0.1","3","401.0"
"0.001","0.02","0.1","4","401.0"
"0.001","0.02","0.1","6","401.0"
"0.001","0.02","0.15","0","-275.0"
"0.001","0.02","0.15","1","-90.0"
"0.001","0.02","0.15","2","-90.0"
"0.001","0.02","0.15","3","-90.0"
"0.001","0.02","0.15","4","-90.0"
"0.001","0.02","0.15","6","-90.0"
"0.001","0.02","0.2","0","-104.0"
"0.001","0.02","0.2","1","82.0"
"0.001","0.02","0.2","2","82.0"
"0.001","0.02","0.2","3","82.0"
"0.001","0.02","0.2","4","82.0"
"0.001","0.02","0.2","6","82.0"
"0.001","0.02","0.25","0","-161.0"
"0.001","0.02","0.25","1","24.0"
"0.001","0.02","0.25","2","24.0"
"0.001","0.02","0.25","3","24.0"
"0.001","0.02","0.25","4","24.0"
"0.001","0.02","0.25","6","24.0"
"0.001","0.02","0.3","0","-104.0"
"0.001","0.02","0.3","1","-1076.0"
"0.001","0.02","0.3","2","-1076.0"
"0.001","0.02","0.3","3","-1076.0"
"0.001","0.02","0.3","4","-1076.0"
"0.001","0.02","0.3","6","-1076.0"
"0.001","0.02","0.35","0","10.0"
"0.001","0.02","0.35","1","-961.0"
"0.001","0.02","0.35","2","-961.0"
"0.001","0.02","0.35","3","-961.0"
"0.001","0.02","0.35","4","-961.0"
"0.001","0.02","0.35","6","-961.0"
"0.001","0.02","0.4","0","297.0"
"0.001","0.02","0.4","1","-674.0"
"0.001","0.02","0.4","2","-674.0"
"0.001","0.02","0.4","3","-674.0"
"0.001","0.02","0.4","4","-674.0"
"0.001","0.02","0.4","6","-674.0"
"0.001","0.02","0.45","0","468.0"
"0.001","0.02","0.45","1","-560.0"
"0.001","0.02","0.45","2","-560.0"
"0.001","0.02","0.45","3","-560.0"
"0.001","0.02","0.45","4","-560.0"
"0.001","0.02","0.45","6","-560.0"
"0.001","0.02","0.5","0","188.0"
"0.001","0.02","0.5","1","417.0"
"0.001","0.02","0.5","2","417.0"
"0.001","0.02","0.5","3","417.0"
"0.001","0.02","0.5","4","417.0"
"0.001","0.02","0.5","6","417.0"
"0.002","0.02","0.05","0","1066.0"
"0.002","0.02","0.05","1","954.0"
"0.002","0.02","0.05","2","954.0"
"0.002","0.02","0.05","3","954.0"
"0.002","0.02","0.05","4","954.0"
"0.002","0.02","0.05","6","954.0"
"0.002","0.02","0.1","0","1298.0"
"0.002","0.02","0.1","1","1068.0"
"0.002","0.02","0.1","2","1068.0"
"0.002","0.02","0.1","3","1068.0"
"0.002","0.02","0.1","4","1068.0"
"0.002","0.02","0.1","6","1068.0"
"0.002","0.02","0.15","0","1412.0"
"0.002","0.02","0.15","1","1182.0"
"0.002","0.02","0.15","2","1182.0"
"0.002","0.02","0.15","3","1182.0"
"0.002","0.02","0.15","4","1182.0"
"0.002","0.02","0.15","6","1182.0"
"0.002","0.02","0.2","0","1526.0"
"0.002","0.02","0.2","1","1296.0"
"0.002","0.02","0.2","2","1296.0"
"0.002","0.02","0.2","3","1296.0"
